sep=,
Date,Time,Item,SKU,Quantity,Unit price,Total discount,Unit cost price,Gross profit,Total (incl tax),Status
2025/02/03,11:41:38,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/03,11:19:26,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/03,11:14:08,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/03,11:14:08,Alt Milk,MM-ALT,1,10.00,0.00,,,10.00,Approved
2025/02/03,11:11:01,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/03,10:50:45,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,10:39:20,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/03,10:26:01,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,10:03:00,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,10:03:00,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/03,08:49:30,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,08:49:30,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/03,08:21:21,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/03,08:18:37,Syrup,MM-SYR,1,7.00,0.00,,,7.00,Approved
2025/02/03,08:18:37,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,08:10:24,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,08:07:54,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/03,08:06:17,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/03,08:06:17,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/03,08:06:17,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,07:21:10,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/02,14:01:20,Beyoncé,MM-BEY,1,40.00,0.00,,,40.00,Approved
2025/02/02,13:44:50,Steve Austin,MM-AUS,2,40.00,0.00,,,80.00,Approved
2025/02/02,10:55:42,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/02,10:50:26,Tilda Swinton,MM-TSW,2,35.00,0.00,,,70.00,Approved
2025/02/02,10:48:29,Barry White,MM-BAW,2,35.00,0.00,,,70.00,Approved
2025/02/02,10:33:37,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/02,10:30:17,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/02,10:30:17,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/02,10:26:46,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/02,10:19:10,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/02,10:14:22,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/02,10:14:22,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/02,10:00:50,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/02,10:00:50,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/02,09:38:04,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/02,09:38:04,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/02,09:29:07,Extra Shot,MM-EXS,1,7.00,0.00,,,7.00,Approved
